Prefix,Suffix,Index Band,Date,Year,Julian,Site,Shelf,Time,ID,Age,PAge,Sex,DNA SEX,DNASEX,Final Sex,Bleed,Feath,Mass 1,LWC,Rect,LP5,LP6,R Time,Temp,Time 2,Date 2,Site 2,Mass 2,Date 3,Site 3,Mass 3,Date 4,Site 4,Mass 4,LP1,LP2,LP3,LP4,LP5,LP6,LP7,LP8,LP9,LP10,RP1,RP2,RP3,RP4,RP5,RP6,RP7,RP8,RP9,RP10,Notes
1593,64747,1593-64747,9/17/2014,2014,260,1B,3,20:14,RA,A,A,F,F,#N/A,F,N,Y,69.5,129,64,99,105,20:42,,0:28,,,,,,,,,,3,1.5,1.5,3,3,3,2.5,M,M,M,3,3,1,3,3,3,2.5,M,M,M,A10_2014 F
1783,64313,1783-64313,9/3/2014,2014,246,1A,2,22:47,NR,3,3,U,0,F,F,Y,Y,63.5,134,63,98,108,23:43,,0:56,,,,,,,,,,3,1,1,2.5,2.5,2.5,2.5,M,M,M,3,3,1,3,3,3,3,M,M,M,
1783,64397,1783-64397,9/16/2014,2014,259,2A,2,0:17,RA,A,A,M,0,#N/A,M,N,Y,68.5,120,58,97,102,1:05,,0:48,,,,,,,,,,1.5,1.5,1.5,1,3,3,M,M,M,M,1.5,1.5,1.5,3,3,3,M,M,M,M,
1783,64417,1783-64417,9/3/2013,2013,246,1,,21:09,RY,Y,Y,U,M,#N/A,M,N,N,55.5,122,60,98,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8_2013 Nestling
1783,64429,1783-64429,9/21/2013,2013,264,1A,4,21:19,U,A,A,U,F,#N/A,F,N,N,68.5,130,57,89,102,22:02,,0:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,64430,1783-64430,9/3/2013,2013,246,1B,,21:25,U,Y,Y,U,0,#N/A,U,N,N,56,122,92,100,62,22:11,,0:46,9/19/2013,2,57,,,,,,,2.5,2.5,2.5,2.5,2.5,2,2,2,2,1,2.5,2.5,2.5,2.5,2.5,2,2,2,2,1,
1783,64430,1783-64430,9/19/2013,2013,262,1A,3,21:53,F,Y,Y,U,0,#N/A,U,N,N,57,122,52,90,100,22:12,,0:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,64431,1783-64431,9/22/2013,2013,265,1B,2,21:12,U,Y,Y,U,M,#N/A,M,N,N,63,120,55,90,100,21:29,,0:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,64440,1783-64440,9/19/2013,2013,262,1A,3,22:15,U,Y,Y,U,0,#N/A,U,N,N,62,134,60,95,105,22:37,,0:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,64441,1783-64441,9/19/2013,2013,262,1B,,22:39,U,U,,U,0,#N/A,U,N,N,63,131,60,94,101,23:22,,0:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This and the CN11 bird were captured in the 3rd and 2nd shelves of the net, no specifics of which shelf for which bird."
1783,64443,1783-64443,9/3/2013,2013,246,1B,,21:35,U,U,,U,0,#N/A,U,N,N,57,131,62,92,103,22:22,,0:47,,,,,,,,,,3,3,3,3,1,1,1,1,1,0.5,3,3,3,3,1,1,1,1,1,0.5,
