year,date,julian,net_hrs,caps,cap_per_hr
2013,3-Sep,246,0:50,6,7.2
2013,19-Sep,262,4:01,5,1.244813278
2013,21-Sep,264,3:43,6,1.614349776
2013,22-Sep,265,4:27,1,0.224719101
2013,25-Sep,268,5:35,0,0
2013,26-Sep,269,8:39,1,0.115606936
2013,27-Sep,270,8:24,0,0
2013,2-Oct,275,6:27,0,0
2013,3-Oct,276,4:53,0,0
2014,20-Aug,232,7:46,2,0.25751073
2014,21-Aug,233,5:28,1,0.182926829
2014,22-Aug,234,8:09,1,0.122699387
2014,23-Aug,235,8:12,1,0.12195122
2014,25-Aug,237,5:24,0,0
2014,26-Aug,238,3:25,1,0.292682927
2014,27-Aug,239,6:20,0,0
2014,28-Aug,240,8:41,1,0.115163148
2014,29-Aug,241,7:38,2,0.262008734
2014,2-Sep,245,9:28,3,0.316901408
2014,3-Sep,246,12:53,7,0.543337646
2014,4-Sep,247,2:35,4,1.548387097
2014,5-Sep,248,10:29,0,0
2014,6-Sep,249,10:57,11,1.00456621
2014,9-Sep,252,11:22,9,0.791788856
2014,10-Sep,253,11:15,7,0.622222222
2014,12-Sep,255,3:11,0,0
2014,13-Sep,256,12:02,7,0.581717452
2014,16-Sep,259,11:20,7,0.617647059
2014,17-Sep,260,12:15,3,0.244897959
2014,18-Sep,261,11:57,2,0.167364017
2014,19-Sep,262,11:39,2,0.17167382
2014,20-Sep,263,0:31,0,0
2014,23-Sep,266,11:10,0,0
2014,24-Sep,267,12:06,0,0
2014,25-Sep,268,12:36,1,0.079365079
2014,26-Sep,269,12:04,0,0
2014,27-Sep,270,12:51,1,0.077821012
2015,18-Aug,230,4:01,1,0.248962656
2015,19-Aug,231,11:41,1,0.085592011
2015,20-Aug,232,11:55,6,0.503496503
2015,24-Aug,236,6:52,2,0.291262136
2015,25-Aug,237,11:05,2,0.180451128
2015,26-Aug,238,10:40,2,0.1875
2015,27-Aug,239,11:19,4,0.353460972
2015,28-Aug,240,11:04,9,0.813253012
2015,31-Aug,243,11:17,7,0.620384047
2015,1-Sep,244,10:26,4,0.383386581
2015,2-Sep,245,10:53,3,0.275650842
2015,3-Sep,246,11:13,6,0.534918276
2015,4-Sep,247,10:37,1,0.094191523
2015,5-Sep,248,7:00,3,0.428571429
2015,7-Sep,250,11:36,1,0.086206897
2015,8-Sep,251,11:51,0,0
2015,9-Sep,252,10:49,2,0.184899846
2015,10-Sep,253,11:37,1,0.086083214
2015,11-Sep,254,11:42,3,0.256410256
2015,14-Sep,257,11:25,0,0
2015,15-Sep,258,11:49,0,0
2015,16-Sep,259,12:04,2,0.165745856
2015,17-Sep,260,11:33,10,0.865800866
2015,18-Sep,261,11:35,0,0
2015,21-Sep,264,11:56,4,0.335195531
2015,22-Sep,265,7:26,0,0
2015,23-Sep,266,12:40,5,0.394736842
2015,24-Sep,267,11:25,2,0.175182482
2015,25-Sep,268,11:11,0,0
2016,22-Aug,235,8:34,5,0.583657588
2016,23-Aug,236,8:14,1,0.12145749
2016,24-Aug,237,9:50,1,0.101694915
2016,26-Aug,239,10:11,4,0.392798691
2016,30-Aug,243,10:17,0,0
2016,31-Aug,244,10:02,0,0
2016,1-Sep,245,10:23,1,0.096308186
2016,2-Sep,246,10:03,3,0.298507463
2016,3-Sep,247,10:26,2,0.191693291
2016,4-Sep,248,10:42,3,0.280373832
2016,5-Sep,249,10:33,1,0.09478673
2016,6-Sep,250,10:28,4,0.382165605
2016,10-Sep,254,10:15,3,0.292682927
2016,11-Sep,255,10:15,6,0.585365854
2016,13-Sep,257,10:23,2,0.192616372
2016,14-Sep,258,10:23,0,0
2016,18-Sep,262,10:09,1,0.098522167
2016,19-Sep,263,10:13,1,0.097879282
2016,20-Sep,264,10:27,1,0.09569378
2016,21-Sep,265,10:29,2,0.190779014
2016,22-Sep,266,10:04,0,0
2016,23-Sep,267,3:51,0,0
2016,27-Sep,271,10:31,1,0.095087163
2016,28-Sep,272,10:06,0,0
2016,29-Sep,273,10:30,2,0.19047619
2016,30-Sep,274,9:57,0,0
2016,1-Oct,275,10:03,0,0
