Band,Date,Year,Julian,Site,Shelf,Time,ID,Age,PAge,Sex,DNA SEX,DNASEX,Final Sex,Bleed,Feath,Mass 1,LWC,Rect,LP5,LP6,Temp,Date 2,Site 2,Mass 2,Date 3,Site 3,Mass 3,Date 4,Site 4,Mass 4,LP1,LP2,LP3,LP4,LP5,LP6,LP7,LP8,LP9,LP10,RP1,RP2,RP3,RP4,RP5,RP6,RP7,RP8,RP9,RP10,Identifier 1,FeatherType,Amount,%H,dD,Analysis,Run #,Individual variation
1783-03345,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,o1783-03345j,j,0.47,7.8,-71,2021,VH2_0020,FALSE
1783-64476,8/28/2014,2014,240,1A,3,0.873611111,U,Y,Y,U,,F,F,Y,Y,58,129,65,96,106,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-64476j,j,0.5,7.9,-81,2018,VH2_0020,FALSE
1783-64494,8/29/2014,2014,241,2B,1,0.957638889,RY,Y,Y,U,,#N/A,U,N,Y,53.5,129,65,96,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-64494j,j,0.55,9.5,-69,1972,VH2_0019,FALSE
1783-64497,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,o1783-64497P,P,0.49,6.7,-44,1780,VH2_0016,FALSE
1783-64525,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,o1783-64525P,P,0.48,7.1,-60,1785,VH2_0016,FALSE
1783-74347,8/22/2016,2016,235,3B,4,0.920138889,RA,A,A,F,F,#N/A,F,N,Y,68.5,137,31,94,76,,,,,,,,,,,1,3,3,3,3,M,M,0.5,0.5,0.5,1,3,3,3,3,M,M,M,0.5,0.5,o1783-74347P,P,0.5,7.2,-70,1786,VH2_0016,FALSE
1783-74362,9/2/2016,2016,246,1A,3,0.020833333,U,Y,Y,U,,M,M,L,Y,54,128,61,98,105,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74362j,j,0.52,8.4,-84,1909,VH2_0018,FALSE
1783-74362,9/2/2016,2016,246,1A,3,0.020833333,U,Y,Y,U,,M,M,L,Y,54,128,61,98,105,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74362p,p,0.53,8.1,-87,1905,VH2_0018,-2.971977606
1783-74373,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,o1783-74373P,P,0.53,6.6,-49,1783,VH2_0016,FALSE
1783-74375,9/3/2016,2016,247,2B,1,0.885416667,U,Y,Y,U,,M,M,L,Y,59.1,128,62,98,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74375j,j,0.54,7.9,-66,1913,VH2_0018,FALSE
1783-74375,9/3/2016,2016,247,2B,1,0.885416667,U,Y,Y,U,,M,M,L,Y,59.1,128,62,98,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74375p,p,0.46,9.3,-71,1912,VH2_0018,-5.095268349
1783-74376,9/3/2016,2016,247,2B,,0.948611111,U,Y,Y,U,,M,M,L,Y,50.4,128,59,94,101,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74376p,p,0.51,8.9,-81,1915,VH2_0018,FALSE
1783-74377,9/4/2016,2016,248,3A,2,0.854166667,U,Y,Y,U,,F,F,L,Y,54.8,127,62,98,105,,42623,1B,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74377p,p,0.47,9.5,-74,1914,VH2_0018,FALSE
1783-74378,9/4/2016,2016,248,3B,3,0.000694444,U,Y,Y,U,,M,M,L,Y,51.5,125,59,97,103,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74378j,j,0.5,9.1,-70,1911,VH2_0018,FALSE
1783-74378,9/4/2016,2016,248,3B,3,0.000694444,U,Y,Y,U,,M,M,L,Y,51.5,125,59,97,103,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74378p,p,0.45,9.2,-62,1910,VH2_0018,8.25607616
1783-74379,9/5/2016,2016,249,1A,3,0.895833333,U,Y,Y,U,,M,M,L,Y,50.4,130,62,100,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74379j,j,0.45,11.3,-74,1965,VH2_0019,FALSE
1783-74379,9/5/2016,2016,249,1A,3,0.895833333,U,Y,Y,U,,M,M,L,Y,50.4,130,62,100,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74379p,p,0.5,9.7,-78,1964,VH2_0019,-4.75178239
1783-74380,9/6/2016,2016,250,2B,1,0.895833333,U,Y,Y,U,,F,F,L,Y,52.5,123,59,98,104,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74380p,p,0.48,9.4,-61,1901,VH2_0018,FALSE
1783-74381,9/6/2016,2016,250,2A,1,0.958333333,U,Y,Y,U,F,#N/A,F,L,Y,56.6,130,64,98,105,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74381p,p,0.5,8.8,-76,1897,VH2_0018,FALSE
1783-74390,8/22/2016,2016,235,3A,1,0.899305556,U,A,A,F,,F,F,L,Y,57.9,121,43,93,78,,,,,,,,,,,1,1.5,1.5,3,3,M,M,M,0.5,0.5,1.5,1.5,3,3,3,M,M,M,0.5,0.5,o1783-74390p,p,0.46,9.3,-76,1903,VH2_0018,FALSE
1783-74391,8/22/2016,2016,235,3B,1,0.001388889,U,Y,Y,U,,M,M,L,Y,57.3,126,63,96,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74391p,p,0.47,8.3,-67,1852,VH2_0017,FALSE
1783-74392,8/22/2016,2016,235,3,3,0.022222222,U,Y,Y,U,,M,M,R,Y,45.4,126,64,95,104,,42617,3,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74392p,p,0.47,9.3,-66,1893,VH2_0018,FALSE
1783-74393,8/23/2016,2016,236,1A,3,0.959027778,U,Y,Y,U,,M,M,R,Y,54.1,128,64,95,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74393j,j,0.51,7.6,-70,1854,VH2_0017,FALSE
1783-74393,8/23/2016,2016,236,1A,3,0.959027778,U,Y,Y,U,,M,M,R,Y,54.1,128,64,95,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74393p,p,0.5,8.6,-73,1853,VH2_0017,-3.583024801
1783-74395,8/26/2016,2016,239,1B,H,0.8875,U,Y,Y,U,F,#N/A,F,L,Y,55.9,131,64,101,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74395j,j,0.54,7.7,-82,1844,VH2_0017,FALSE
1783-74395,8/26/2016,2016,239,1B,H,0.8875,U,Y,Y,U,F,#N/A,F,L,Y,55.9,131,64,101,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74395p,p,0.46,7.9,-75,1841,VH2_0017,7.283877024
1783-74396,8/26/2016,2016,239,1B,1,0.899305556,U,Y,Y,U,,M,M,L,Y,60.4,132,61,100,107,,42624,1A,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74396j,j,0.52,7.9,-68,1849,VH2_0017,FALSE
1783-74396,8/26/2016,2016,239,1B,1,0.899305556,U,Y,Y,U,,M,M,L,Y,60.4,132,61,100,107,,42624,1A,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74396p,p,0.5,7.8,-69,1848,VH2_0017,-0.086763829
1783-74400,8/26/2016,2016,239,1A,,0.898611111,U,Y,Y,U,F,#N/A,F,L,Y,57.4,126,65,96,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74400p,p,0.47,8.5,-64,1850,VH2_0017,FALSE
1783-74401,9/1/2016,2016,245,3A,1,0.020833333,U,Y,Y,U,,M,M,Y,Y,56.6,131,63,98,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74401j,j,0.5,8.0,-74,1847,VH2_0017,FALSE
1783-74401,9/1/2016,2016,245,3A,1,0.020833333,U,Y,Y,U,,M,M,Y,Y,56.6,131,63,98,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74401p,p,0.52,8.5,-81,1846,VH2_0017,-7.32672336
1783-74402,9/2/2016,2016,246,1A,3,0.895833333,U,Y,Y,U,F,#N/A,F,L,Y,53.6,128,63,100,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1783-74402p,p,0.53,7.6,-77,1845,VH2_0017,FALSE
1783-74403,9/2/2016,2016,246,1B,4,1.010416667,U,A,A,U,,M,M,Y,Y,59.9,128,57,99,107,7.5,42631,3A,62.9,,,,,,,0.5,0.5,3,3,3,3,3,M,M,M,0.5,0.5,3,3,3,3,3,M,M,M,o1783-74403p,p,0.46,8.4,-59,1851,VH2_0017,FALSE
1833-03134,9/10/2014,2014,253,1A,2,0.0375,U,U,,U,,M,M,Y,Y,60.5,134,63,102,110,,,,,,,,,,,3,3,3,3,2.5,2.5,2,2,2,1.5,,,,,,,,,,,o1833-03134j,j,0.5,10.2,-63,1971,VH2_0019,FALSE
1833-03288,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,o1833-03288P,P,0.47,7.9,-61,1781,VH2_0016,FALSE
1833-03314,8/20/2015,2015,232,2A,1,0.970833333,U,Y,Y,U,F,#N/A,F,L,Y,50.5,125,61,99,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03314j,j,0.54,7.6,-70,2077,VH2_0021,FALSE
1833-03325,8/31/2015,2015,243,1B,3,0.8875,U,Y,Y,U,,M,M,L,Y,52,122,53,95,103,,42624,1B,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03325j,j,0.46,8.5,-71,2078,VH2_0021,FALSE
1833-03325,8/31/2015,2015,243,1B,3,0.8875,U,Y,Y,U,,M,M,L,Y,52,122,53,95,103,,42624,1B,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03325p,p,0.49,8.8,-57,1919,VH2_0018,14.34692953
1833-03327,8/31/2015,2015,243,1B,1,0.961805556,U,Y,Y,U,M,#N/A,M,R,Y,53,130,59,96,104,,42249,3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03327j,j,0.51,8.1,-69,2079,VH2_0021,FALSE
1833-03328,9/1/2015,2015,244,2B,2,0.886111111,U,Y,Y,U,M,#N/A,M,L,Y,53.5,129,62,96,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03328j,j,0.54,7.2,-66,2080,VH2_0021,FALSE
1833-03329,9/1/2015,2015,244,2A,1,0.897222222,U,Y,Y,U,F,#N/A,F,L,Y,54.5,126,64,99,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03329j,j,0.51,7.2,-72,1798,VH2_0016,FALSE
1833-03332,9/3/2015,2015,246,1A,4,0.908333333,U,Y,Y,U,,Inconclusive,U,R,Y,59,133,63,99,106,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03332j,j,0.54,7.8,-67,2081,VH2_0021,FALSE
1833-03333,9/3/2015,2015,246,1A,2,0.930555556,U,Y,Y,U,M,#N/A,M,L,Y,57,128,62,97,105,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03333j,j,0.53,7.7,-65,2082,VH2_0021,FALSE
1833-03334,9/3/2015,2015,246,1A,4,0.98125,U,Y,Y,U,M,#N/A,M,L,Y,56.5,131,62,98,106,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03334j,j,0.49,8.8,-67,2083,VH2_0021,FALSE
1833-03335,9/3/2015,2015,246,1A,2,0.011111111,U,Y,Y,U,M,#N/A,M,L,Y,52,131,62,95,105,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03335j,j,0.48,8.3,-70,2087,VH2_0021,FALSE
1833-03336,9/4/2015,2015,247,2A,1,0.885416667,U,Y,Y,U,,M,M,L,Y,54,126,63,96,105,13,42633,1A,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03336j,j,0.53,7.6,-65,2088,VH2_0021,FALSE
1833-03336,9/4/2015,2015,247,2A,1,0.885416667,U,Y,Y,U,,M,M,L,Y,54,126,63,96,105,13,42633,1A,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03336p,p,0.52,9.2,-54,1958,VH2_0019,10.98598229
1833-03337,9/5/2015,2015,248,1A,2,0.888888889,U,Y,Y,U,M,#N/A,M,R,Y,54.4,125,56,93,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03337j,j,0.46,8.8,-64,2089,VH2_0021,FALSE
1833-03338,9/7/2015,2015,250,3A,1,0.91875,U,Y,Y,U,F,#N/A,F,L,Y,54.2,130,63,98,107,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03338j,j,0.54,7.5,-65,2090,VH2_0021,FALSE
1833-03339,9/9/2015,2015,252,2B,2,0.959722222,U,Y,Y,U,,M,M,L,Y,55.7,125,64,100,106,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03339j,j,0.49,9.3,-69,2091,VH2_0021,FALSE
1833-03340,9/9/2015,2015,252,2B,4,0.980555556,U,Y,Y,U,F,#N/A,F,L,Y,62.5,131,63,97,105,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03340j,j,0.51,7.0,-83,1789,VH2_0016,FALSE
1833-03340,9/9/2015,2015,252,2B,4,0.980555556,U,Y,Y,U,F,#N/A,F,L,Y,62.5,131,63,97,105,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03340j,j,0.5,8.1,-76,2092,VH2_0021,6.408296324
1833-03341,9/10/2015,2015,253,3A,1,0.969444444,U,Y,Y,U,F,#N/A,F,R,Y,57.4,135,69,102,111,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03341j,j,0.51,8.3,-69,2093,VH2_0021,FALSE
1833-03343,9/11/2015,2015,254,1B,2,0.938194444,U,Y,Y,U,M,#N/A,M,L,Y,59,127,65,96,105,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03343j,j,0.54,6.9,-70,2019,VH2_0020,FALSE
1833-03344,9/16/2015,2015,259,3B,3,0.065277778,U,Y,Y,U,F,#N/A,F,L,Y,54.2,133,59,99,107,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03344j,j,0.51,7.1,-78,2020,VH2_0020,FALSE
1833-03346,9/17/2015,2015,260,2A,3,0.876388889,U,Y,Y,U,F,#N/A,F,L,Y,50.7,128,57,87,97,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03346j,j,0.46,8.1,-74,2022,VH2_0020,FALSE
1833-03347,9/17/2015,2015,260,2B,2,0.899305556,U,Y,Y,U,F,#N/A,F,L,Y,51.7,128,61,97,106,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03347j,j,0.53,6.7,-75,2023,VH2_0020,FALSE
1833-03348,9/17/2015,2015,260,2A,3,0.927777778,U,Y,Y,U,M,#N/A,M,L,Y,55.1,131,63,97,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03348j,j,0.52,7.0,-74,2024,VH2_0020,FALSE
1833-03349,9/17/2015,2015,260,2B,3,0.96875,U,Y,Y,U,,M,M,L,Y,57.2,133,60,97,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03349j,j,0.45,8.6,-80,2041,VH2_0020,FALSE
1833-03352,9/17/2015,2015,260,2A,3,0.001388889,U,Y,Y,U,F,#N/A,F,R,Y,56,131,67,100,110,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03352j,j,0.5,7.9,-75,2042,VH2_0020,FALSE
1833-03356,9/21/2015,2015,264,1A,3,0.970138889,U,Y,Y,U,F,#N/A,F,L,Y,61.6,130,65,102,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03356j,j,0.52,7.4,-82,2043,VH2_0020,FALSE
1833-03357,9/21/2015,2015,264,1B,3,0.002777778,U,Y,Y,U,F,#N/A,F,L,Y,59.6,129,63,94,103,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03357j,j,0.54,7.1,-94,2044,VH2_0020,FALSE
1833-03358,9/23/2015,2015,266,2B,1,0.885416667,U,Y,Y,U,M,#N/A,M,L,Y,57.6,125,61,95,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03358j,j,0.53,7.5,-72,2071,VH2_0021,FALSE
1833-03359,9/23/2015,2015,266,2A,1,0.958333333,U,Y,Y,U,M,#N/A,M,L,Y,54.3,122,62,93,101,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03359j,j,0.51,7.5,-62,2072,VH2_0021,FALSE
1833-03360,9/23/2015,2015,266,2B,3,0.970833333,U,Y,Y,U,M,#N/A,M,L,Y,62.9,133,61,97,106,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03360j,j,0.5,8.4,-67,2073,VH2_0021,FALSE
1833-03363,9/24/2015,2015,267,1A,3,0.83125,U,Y,Y,U,,F,F,L,Y,56.6,127,56,94,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03363j,j,0.47,8.6,-76,2074,VH2_0021,FALSE
1833-03367,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,o1833-03367P,P,0.53,6.6,-72,1782,VH2_0016,FALSE
1833-03368,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,o1833-03368P,P,0.46,7.5,-44,1784,VH2_0016,FALSE
1833-03377,8/22/2016,2016,235,3B,1,0.886805556,U,Y,Y,U,,M,M,L,Y,51.5,129,63,98,107,,42623,3,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03377p,p,0.54,8.2,-72,1904,VH2_0018,FALSE
1833-03401,9/6/2016,2016,250,2B,1,1,U,Y,Y,U,M,#N/A,M,R,Y,53.3,122,58,91,100,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03401j,j,0.46,9.4,-73,1896,VH2_0018,FALSE
1833-03401,9/6/2016,2016,250,2B,1,1,U,Y,Y,U,M,#N/A,M,R,Y,53.3,122,58,91,100,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03401p,p,0.51,8.3,-72,1895,VH2_0018,1.055351031
1833-03402,9/6/2016,2016,250,2A,1,0.010416667,U,Y,Y,U,,M,M,L,Y,52.6,126,63,96,104,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03402p,p,0.52,8.4,-80,1894,VH2_0018,FALSE
1833-03405,9/10/2016,2016,254,3B,3,0.854166667,U,Y,Y,U,,F,F,R,Y,52.9,134,62,99,109,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03405p,p,0.46,9.5,-73,1902,VH2_0018,FALSE
1833-03406,9/10/2016,2016,254,3B,1,0.03125,U,Y,Y,U,,M,M,L,Y,55.2,127,62,96,105,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03406p,p,0.49,8.7,-72,1898,VH2_0018,FALSE
1833-03409,9/11/2016,2016,255,1B,2,0.917361111,U,Y,Y,U,,M,M,L,Y,51.5,132,61,97,106,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03409j,j,0.5,9.3,-77,1918,VH2_0018,FALSE
1833-03409,9/11/2016,2016,255,1B,2,0.917361111,U,Y,Y,U,,M,M,L,Y,51.5,132,61,97,106,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03409p,p,0.53,8.2,-74,1917,VH2_0018,2.826158726
1833-03410,9/11/2016,2016,255,1A,3,0.958333333,U,Y,Y,U,,M,M,L,Y,54.8,128,59,97,105,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1833-03410j,j,0.54,9.1,-46,1953,VH2_0019,FALSE
