cap_type,band,sex,dna_sex,age_at_first,date_1,loc_1,x,y,mass_1,date_2,loc_2,mass_2,dist,d_mass,d_time,cap
f2s,1783-64429,F,F,A,9/21/2013,1A,495467,4327710,68.5,6/16/2014,A7_2014 F,57,1.78,-11.5,268,1
f2s,1833-03191,M,M,HY,8/28/2015,1A,495467,4327710,53.5,7/8/2016,AG1_2016 M/floater,53,1.55,-0.5,315,1
f2s,1783-64490,M,,HY,8/31/2015,1A,495467,4327710,64.5,7/26/2016,A27_2016 M,60,0.08,-4.5,330,1
f2s,1783-64452,F,F,A,9/21/2013,1A,495467,4327710,69.5,6/25/2014,A44_2014 F,65,2.1,-4.5,277,1
f2s,1833-03104,M,,A,9/6/2014,1B,495338,4327627,61,6/10/2015,A41_2015M,53.5,0.37,-7.5,277,1
f2s,1833-03116,M,,U,9/6/2014,1B,495338,4327627,58,6/15/2016,A40_2016 M,51.5,0.73,-6.5,648,1
f2s,1833-03309,F,,A,8/28/2015,1A,495467,4327710,59,6/8/2016,A29_2016 F,N/A,1.43,N/A,285,1
f2s,1833-03322,U,F,HY,8/28/2015,1A,495467,4327710,56.5,5/31/2016,A4_2016 floater?,55.5,0.77,-1,277,1
f2s,1833-03307,F,F,HY,8/28/2015,1A,495467,4327710,59,6/29/2016,B5_2_2016 F?,63,5.96,4,306,1
f2s,1783-74351,M,M,HY,8/26/2016,1A,495467,4327710,51.6,7/6/2017,BG5_M,54,3.67,2.4,314,1
f2s,1833-03329,M,F,HY,9/1/2015,2A,496203,4326751,54.5,5/10/2016,BG10_2016 M?,53,8.35,-1.5,252,1
f2s,1833-03417,M,,HY,9/29/2016,2A,496203,4326751,75,6/19/2017,B12_2017 M,54.5,6.13,-20.5,263,1
b2f2s,1783-64397,M,,A,9/16/2014,2A,496203,4326751,68.5,6/25/2015,A7_2015 M,55,0.69,-13.5,282,1
b2f2s,1783-64465,F,,A,8/20/2014,1B,495338,4327627,60,5/26/2015,A15_2015 F,69,0.48,9,279,1
b2f2s,1783-64541,M,,A,8/23/2014,3A,494731,4327142,58,6/24/2015,A2_2015 M,56.5,0.39,-1.5,305,1
b2f2s,1783-64546,M,,A,9/10/2014,1B,495338,4327627,61.5,7/7/2015,A8_2015 M,59.5,0.22,-2,300,1
b2f2s,1783-64515,F,,A,9/13/2014,1B,495338,4327627,66.5,6/7/2015,A8_2015 F,68,0.22,1.5,267,1
b2f2s,1593-64747,F,F,A,9/17/2014,1B,495338,4327627,69.5,6/25/2015,A10_2015 F,67,0.39,-2.5,281,1
b2f2s,1783-64506,F,M??,A,9/18/2014,3b,494664,4326925,62.5,6/18/2015,A2_2014 F,61,0.18,-1.5,273,1
b2f2s,1783-64514,M,,A,9/19/2014,2B,496229,4326665,71,6/18/2015,A18_2015 M,54,0.16,-17,272,1
s2f,1783-64417,U,M,HY,7/12/2013,A8_2013 Fl,495433,4327292,54.2,9/3/2013,1,55.5,0.42,1.3,53,1
s2f,1783-64461,U,,HY,7/16/2013,CN11_2013 Fl,481426,4333040,58.5,9/19/2013,1B,57.5,14.93,-1,65,1
s2f,1783-64465,F,,A,7/23/2014,A15_2014 F,495278,4326966,51,8/20/2014,1B,60,0.66,9,28,1
s2f,1783-64541,M,,A,7/4/2014,A2_2014 M,494739,4326787,57.5,8/23/2014,3A,58,0.36,0.5,50,1
s2f,1783-64494,U,,HY,7/16/2014,A8_2014 Fl,495317,4327407,52.9,8/29/2014,2B,53.5,1.18,0.6,44,1
s2f,1783-64313,U,,HY,6/29/2012,B19_2012 Fl,496276,4333315,62,9/3/2014,1A,63.5,5.66,1.5,796,1
s2f,1783-64546,M,,A,6/16/2014,A8_2014 M,495317,4327407,53.5,9/10/2014,1B,61.5,0.22,8,86,1
s2f,1783-64515,F,,A,7/7/2014,A8_2014 F,495317,4327407,56,9/13/2014,1B,66.5,0.22,10.5,68,1
s2f,1783-64587,U,,HY,7/14/2014,B13_2014 Fl,495857,4334384,57.5,9/13/2014,1B,57.5,6.78,0,61,1
s2f,1783-64397,M,,A,7/7/2014,A29_2014 M,496357,4326593,51,9/16/2014,2A,68.5,0.22,17.5,71,1
